movieid,title
203,"To Wong Foo, Thanks for Everything! Julie Newmar"
204,Under Siege 2: Dark Territory
205,Unstrung Heroes
206,Unzipped
207,"Walk in the Clouds, A"
208,Waterworld
209,White Man's Burden
210,Wild Bill
34482,"Browning Version, The"
212,Bushwhacked
213,Burnt by the Sun (Utomlyonnye solntsem)
214,Before the Rain (Pred dozhdot)
215,Before Sunrise
216,Billy Madison
217,"Babysitter, The"
218,Boys on the Side
219,"Cure, The"
220,Castle Freak
222,Circle of Friends
223,Clerks
224,Don Juan DeMarco
225,Disclosure
227,Drop Zone
228,Destiny Turns on the Radio
229,Death and the Maiden
230,Dolores Claiborne
231,Dumb & Dumber (Dumb and Dumber)
232,Eat Drink Man Woman (Yin shi nan nu)
233,Exotica
234,Exit to Eden
235,Ed Wood
236,French Kiss
237,Forget Paris
238,Far From Home: The Adventures of Yellow Dog
239,"Goofy Movie, A"
240,Hideaway
241,Fluke
242,Farinelli: il castrato
243,Gordy
246,Hoop Dreams
247,Heavenly Creatures
248,Houseguest
249,Immortal Beloved
250,Heavyweights (Heavy Weights)
6219,"Hunted, The"
252,I.Q.
253,Interview with the Vampire: The Vampire Chronicles
254,Jefferson in Paris
255,"Jerky Boys, The"
256,Junior
257,Just Cause
258,"Kid in King Arthur's Court, A"
259,Kiss of Death
260,Star Wars: Episode IV - A New Hope
7054,Little Women
262,"Little Princess, A"
263,Ladybird Ladybird
265,Like Water for Chocolate (Como agua para chocolate)
266,Legends of the Fall
267,Major Payne
269,My Crazy Life (Mi vida loca)
6837,Love Affair
271,Losing Isaiah
272,"Madness of King George, The"
273,Mary Shelley's Frankenstein (Frankenstein)
31867,Man of the House
275,Mixed Nuts
276,Milk Money
2398,Miracle on 34th Street
278,Miami Rhapsody
279,My Family
280,Murder in the First
281,Nobody's Fool
282,Nell
283,New Jersey Drive
284,New York Cop (Nyû Yôku no koppu)
285,Beyond Bedlam
287,Nina Takes a Lover
288,Natural Born Killers
289,Only You
290,Once Were Warriors
291,Poison Ivy II
292,Outbreak
293,Léon: The Professional (a.k.a. The Professional) (Léon)
294,"Perez Family, The"
295,"Pyromaniac's Love Story, A"
296,Pulp Fiction
298,Pushing Hands (Tui shou)
86835,Priest
300,Quiz Show
301,Picture Bride (Bijo photo)
302,"Queen Margot (Reine Margot, La)"
303,"Quick and the Dead, The"
304,Roommates
305,Ready to Wear (Pret-A-Porter)
306,Three Colors: Red (Trois couleurs: Rouge)
307,Three Colors: Blue (Trois couleurs: Bleu)
308,Three Colors: White (Trzy kolory: Bialy)
310,Rent-a-Kid
311,Relative Fear
312,Stuart Saves His Family
313,"Swan Princess, The"
314,"Secret of Roan Inish, The"
315,"Specialist, The"
316,Stargate
317,"Santa Clause, The"
318,"Shawshank Redemption, The"
319,Shallow Grave
320,Suture
321,Strawberry and Chocolate (Fresa y chocolate)
322,Swimming with Sharks
324,"Sum of Us, The"
325,National Lampoon's Senior Trip
326,To Live (Huozhe)
327,Tank Girl
328,Tales from the Crypt Presents: Demon Knight
329,Star Trek: Generations
330,Tales from the Hood
331,Tom & Viv
2553,Village of the Damned
333,Tommy Boy
334,Vanya on 42nd Street
335,Underneath
336,"Walking Dead, The"
337,What's Eating Gilbert Grape
338,Virtuosity
339,While You Were Sleeping
340,"War, The"
341,Double Happiness
342,Muriel's Wedding
343,"Baby-Sitters Club, The"
344,Ace Ventura: Pet Detective
345,"Adventures of Priscilla, Queen of the Desert, The"
346,Backbeat
347,Bitter Moon
348,Bullets Over Broadway
349,Clear and Present Danger
350,"Client, The"
351,"Corrina, Corrina"
352,Crooklyn
353,"Crow, The"
354,Cobb
355,"Flintstones, The"
356,Forrest Gump
357,Four Weddings and a Funeral
358,Higher Learning
359,I Like It Like That
360,I Love Trouble
361,It Could Happen to You
2078,"Jungle Book, The"
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)"
364,"Lion King, The"
365,Little Buddha
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)"
367,"Mask, The"
368,Maverick
369,Mrs. Parker and the Vicious Circle
370,Naked Gun 33 1/3: The Final Insult
371,"Paper, The"
372,Reality Bites
373,Red Rock West
374,Richie Rich
376,"River Wild, The"
377,Speed
378,Speechless
379,Timecop
380,True Lies
381,When a Man Loves a Woman
382,Wolf
383,Wyatt Earp
5414,Bad Company
385,"Man of No Importance, A"
386,S.F.W.
387,"Low Down Dirty Shame, A"
388,Boys Life
389,"Colonel Chabert, Le"
390,Faster Pussycat! Kill! Kill!
391,Jason's Lyric
393,Street Fighter
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension)
406,Federal Hill
407,In the Mouth of Madness
408,8 Seconds
409,Above the Rim
410,Addams Family Values
412,"Age of Innocence, The"
413,Airheads
414,"Air Up There, The"
415,Another Stakeout
416,Bad Girls
417,Barcelona
418,Being Human
419,"Beverly Hillbillies, The"
420,Beverly Hills Cop III
421,Black Beauty
422,Blink
423,Blown Away
424,Blue Chips
425,Blue Sky
426,Body Snatchers
427,Boxing Helena
428,"Bronx Tale, A"
429,Cabin Boy
430,Calendar Girl
431,Carlito's Way
432,City Slickers II: The Legend of Curly's Gold
433,Clean Slate
434,Cliffhanger
435,Coneheads
436,Color of Night
437,Cops and Robbersons
438,"Cowboy Way, The"
440,Dave
441,Dazed and Confused
442,Demolition Man
444,Even Cowgirls Get the Blues
445,Fatal Instinct
446,Farewell My Concubine (Ba wang bie ji)
448,Fearless
449,Fear of a Black Hat
450,With Honors
451,Flesh and Bone
452,Widows' Peak
453,For Love or Money
95624,"Firm, The"
455,Free Willy
456,Fresh
55854,"Fugitive, The"
458,Geronimo: An American Legend
8016,"Getaway, The"
460,Getting Even with Dad
461,Go Fish
464,Hard Target
466,Hot Shots! Part Deux
467,Live Nude Girls
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The"
469,"House of the Spirits, The"
470,House Party 3
471,"Hudsucker Proxy, The"
472,I'll Do Anything
473,In the Army Now
474,In the Line of Fire
475,In the Name of the Father
476,"Inkwell, The"
477,What's Love Got to Do with It?
478,Jimmy Hollywood
479,Judgment Night
480,Jurassic Park
481,Kalifornia
482,Killing Zoe
484,Lassie
485,Last Action Hero
486,Life with Mikey
487,Lightning Jack
488,M. Butterfly
489,Made in America
490,Malice
491,"Man Without a Face, The"
492,Manhattan Murder Mystery
493,Menace II Society
494,Executive Decision
495,In the Realm of the Senses (Ai no corrida)
496,What Happened Was...
103027,Much Ado About Nothing
499,Mr. Wonderful
500,Mrs. Doubtfire
501,Naked
502,"Next Karate Kid, The"
504,No Escape
505,North
506,Orlando
507,"Perfect World, A"
508,Philadelphia
509,"Piano, The"
510,Poetic Justice
511,"Program, The"
512,"Puppet Masters, The"
513,Radioland Murders
514,"Ref, The"
515,"Remains of the Day, The"
516,Renaissance Man
517,Rising Sun
518,"Road to Wellville, The"
519,RoboCop 3
520,Robin Hood: Men in Tights
521,Romeo Is Bleeding
522,Romper Stomper
523,Ruby in Paradise
524,Rudy
526,"Savage Nights (Nuits fauves, Les)"
527,Schindler's List
528,"Scout, The"
529,Searching for Bobby Fischer
531,"Secret Garden, The"
532,Serial Mom
533,"Shadow, The"
534,Shadowlands
535,Short Cuts
536,"Simple Twist of Fate, A"
537,Sirens
538,Six Degrees of Separation
539,Sleepless in Seattle
540,Sliver
541,Blade Runner
542,Son in Law
543,So I Married an Axe Murderer
544,Striking Distance
546,Super Mario Bros.
547,Surviving the Game
548,Terminal Velocity
549,Thirty-Two Short Films About Glenn Gould
550,Threesome
551,"Nightmare Before Christmas, The"
90403,"Three Musketeers, The"
553,Tombstone
555,True Romance
556,"War Room, The"
558,"Pagemaster, The"
562,Welcome to the Dollhouse
563,Germinal
564,Chasers
567,Kika
568,Bhaji on the Beach
569,Little Big League
573,"Ciao, Professore! (Io speriamo che me la cavo)"
574,Spanking the Monkey
575,"Little Rascals, The"
577,Andre
579,"Escort, The (Scorta, La)"
580,Princess Caraboo
581,"Celluloid Closet, The"
583,Dear Diary (Caro Diario)
585,"Brady Bunch Movie, The"
586,Home Alone
587,Ghost
588,Aladdin
589,Terminator 2: Judgment Day
590,Dances with Wolves
26152,Batman
593,"Silence of the Lambs, The"
594,Snow White and the Seven Dwarfs
168366,Beauty and the Beast
5990,Pinocchio
597,Pretty Woman
599,"Wild Bunch, The"
600,Love and a .45
602,"Great Day in Harlem, A"
605,One Fine Day
606,Candyman: Farewell to the Flesh
608,Fargo
609,Homeward Bound II: Lost in San Francisco
610,Heavy Metal
611,Hellraiser: Bloodline
612,"Pallbearer, The"
85438,Jane Eyre
615,Bread and Chocolate (Pane e cioccolata)
616,"Aristocats, The"
617,"Flower of My Secret, The (La flor de mi secreto)"
618,Two Much
619,Ed
626,"Thin Line Between Love and Hate, A"
627,"Last Supper, The"
628,Primal Fear
631,All Dogs Go to Heaven 2
632,Land and Freedom (Tierra y libertad)
633,Denise Calls Up
634,Theodore Rex
635,"Family Thing, A"
636,Frisk
637,Sgt. Bilko
638,Jack and Sarah
639,Girl 6
640,Diabolique
645,Nelly & Monsieur Arnaud
647,Courage Under Fire
648,Mission: Impossible
649,Cold Fever (Á köldum klaka)
650,Moll Flanders
653,Dragonheart
656,Eddie
661,James and the Giant Peach
662,Fear
663,Kids in the Hall: Brain Candy
665,Underground
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite)
668,Song of the Little Road (Pather Panchali)
670,"World of Apu, The (Apur Sansar)"
671,Mystery Science Theater 3000: The Movie
673,Space Jam
674,Barbarella
678,Some Folks Call It a Sling Blade
679,"Run of the Country, The"
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution)"
685,It's My Party
688,Operation Dumbo Drop
691,Mrs. Winterbourne
692,Solo
694,"Substitute, The"
2561,True Crime
697,Feeling Minnesota
698,Delta of Venus
700,Angus
703,Boys
704,"Quest, The"
706,Sunset Park
707,Mulholland Falls
708,"Truth About Cats & Dogs, The"
709,Oliver & Company
710,Celtic Pride
711,Flipper
714,Dead Man
715,"Horseman on the Roof, The (Hussard sur le toit, Le)"
718,"Visitors, The (Visiteurs, Les)"
719,Multiplicity
720,Wallace & Gromit: The Best of Aardman Animation
722,"Haunted World of Edward D. Wood Jr., The"
724,"Craft, The"
725,"Great White Hype, The"
726,Last Dance
728,Cold Comfort Farm
731,Heaven's Prisoners
733,"Rock, The"
735,Cemetery Man (Dellamorte Dellamore)
7781,Twister
737,Barb Wire
741,Ghost in the Shell (Kôkaku kidôtai)
742,Thinner
743,Spy Hard
745,Wallace & Gromit: A Close Shave
747,"Stupids, The"
748,"Arrival, The"
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
757,Ashes of Time (Dung che sai duk)
759,Maya Lin: A Strong Clear Vision
116529,Stalingrad
761,"Phantom, The"
762,Striptease
764,Heavy
765,Jack
766,I Shot Andy Warhol
773,Touki Bouki
775,Spirits of the Dead
778,Trainspotting
779,'Til There Was You
780,Independence Day (a.k.a. ID4)
781,Stealing Beauty
782,"Fan, The"
25746,"Hunchback of Notre Dame, The"
784,"Cable Guy, The"
785,Kingpin
786,Eraser
2136,"Nutty Professor, The"
790,"Unforgettable Summer, An (Un été inoubliable)"
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The"
795,Somebody to Love
798,Daylight
799,"Frighteners, The"
800,Lone Star
801,Harriet the Spy
802,Phenomenon
803,Walking and Talking
804,She's the One
805,"Time to Kill, A"
806,American Buffalo
808,Alaska
809,Fled
810,Kazaam
813,Larger Than Life
818,"Very Brady Sequel, A"
823,"Collector, The (La collectionneuse)"
824,Kaspar Hauser
828,"Adventures of Pinocchio, The"
829,Joe's Apartment
830,"First Wives Club, The"
832,Ransom
833,High School High
835,Foxfire
836,Chain Reaction
837,Matilda
84847,Emma
839,"Crow: City of Angels, The"
840,House Arrest
841,"Eyes Without a Face (Yeux sans visage, Les)"
842,Tales from the Crypt Presents: Bordello of Blood
848,"Spitfire Grill, The"
849,Escape from L.A.
851,Basquiat
852,Tin Cup
858,"Godfather, The"
861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha)
866,Bound
867,Carpool
869,Kansas City
870,Gone Fishin'
7048,Nothing to Lose
876,Supercop 2 (Project S) (Chao ji ji hua)
879,"Relic, The"
880,"Island of Dr. Moreau, The"
881,First Kid
882,"Trigger Effect, The"
885,Bogus
886,Bulletproof
888,Land Before Time III: The Time of the Great Giving
889,1-900 (06)
891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers)
892,Twelfth Night
893,Mother Night
896,Wild Reeds (Les roseaux sauvages)
897,For Whom the Bell Tolls
898,"Philadelphia Story, The"
899,Singin' in the Rain
900,"American in Paris, An"
901,Funny Face
902,Breakfast at Tiffany's
903,Vertigo
904,Rear Window
905,It Happened One Night
906,Gaslight
907,"Gay Divorcee, The"
908,North by Northwest
909,"Apartment, The"
910,Some Like It Hot
911,Charade
912,Casablanca
913,"Maltese Falcon, The"
914,My Fair Lady
916,Roman Holiday
917,"Little Princess, The"
918,Meet Me in St. Louis
919,"Wizard of Oz, The"
920,Gone with the Wind
921,My Favorite Year
922,Sunset Blvd. (a.k.a. Sunset Boulevard)
923,Citizen Kane
924,2001: A Space Odyssey
926,All About Eve
927,"Women, The"
928,Rebecca
929,Foreign Correspondent
65810,Notorious
149508,Spellbound
932,"Affair to Remember, An"
933,To Catch a Thief
6944,Father of the Bride
935,"Band Wagon, The"
936,Ninotchka
937,Love in the Afternoon
89939,Gigi
940,"Adventures of Robin Hood, The"
941,"Mark of Zorro, The"
942,Laura
943,"Ghost and Mrs. Muir, The"
944,Lost Horizon
945,Top Hat
946,To Be or Not to Be
3096,My Man Godfrey
948,Giant
949,East of Eden
950,"Thin Man, The"
951,His Girl Friday
8526,Around the World in 80 Days
953,It's a Wonderful Life
954,Mr. Smith Goes to Washington
955,Bringing Up Baby
956,Penny Serenade
959,Of Human Bondage
961,Little Lord Fauntleroy
963,"Inspector General, The"
965,"39 Steps, The"
8225,Night of the Living Dead
969,"African Queen, The"
970,Beat the Devil
971,Cat on a Hot Tin Roof
973,Meet John Doe
976,"Farewell to Arms, A"
979,Nothing Personal
981,Dangerous Ground
982,Picnic
984,"Pompatus of Love, The"
986,Fly Away Home
176413,Bliss
988,Grace of My Heart
990,Maximum Risk
991,Michael Collins
993,Infinity
994,Big Night
996,Last Man Standing
998,Set It Off
999,2 Days in the Valley
1003,Extreme Measures
1004,"Glimmer Man, The"
1005,D3: The Mighty Ducks
1006,"Chamber, The"
1007,"Apple Dumpling Gang, The"
1008,"Davy Crockett, King of the Wild Frontier"
1009,Escape to Witch Mountain
1010,"Love Bug, The"
1011,Herbie Rides Again
1012,Old Yeller
2059,"Parent Trap, The"
1014,Pollyanna
1015,Homeward Bound: The Incredible Journey
44399,"Shaggy Dog, The"
1017,Swiss Family Robinson
1018,That Darn Cat!
62383,"20,000 Leagues Under the Sea"
1020,Cool Runnings
1021,Angels in the Outfield
130073,Cinderella
1023,Winnie the Pooh and the Blustery Day
1024,"Three Caballeros, The"
1025,"Sword in the Stone, The"
1027,Robin Hood: Prince of Thieves
1028,Mary Poppins
1029,Dumbo
160573,Pete's Dragon
1031,Bedknobs and Broomsticks
80748,Alice in Wonderland
1033,"Fox and the Hound, The"
1034,Freeway
1035,"Sound of Music, The"
1036,Die Hard
1037,"Lawnmower Man, The"
1040,"Secret Agent, The"
1041,Secrets & Lies
1042,That Thing You Do!
1043,To Gillian on Her 37th Birthday
1046,Beautiful Thing
1047,"Long Kiss Goodnight, The"
1049,"Ghost and the Darkness, The"
1050,Looking for Richard
1051,Trees Lounge
1053,Normal Life
1054,Get on the Bus
1055,Shadow Conspiracy
1056,Jude
1057,Everyone Says I Love You
1059,William Shakespeare's Romeo + Juliet
1060,Swingers
1061,Sleepers
1064,Aladdin and the King of Thieves
1066,Shall We Dance
1068,Crossfire
1073,Willy Wonka & the Chocolate Factory
1077,Sleeper
1078,Bananas
1079,"Fish Called Wanda, A"
1080,Monty Python's Life of Brian
1081,Victor/Victoria
1082,"Candidate, The"
1083,"Great Race, The"
1084,Bonnie and Clyde
1085,"Old Man and the Sea, The"
1086,Dial M for Murder
1088,Dirty Dancing
1089,Reservoir Dogs
1090,Platoon
1091,Weekend at Bernie's
1092,Basic Instinct
1093,"Doors, The"
1094,"Crying Game, The"
1095,Glengarry Glen Ross
1096,Sophie's Choice
1097,E.T. the Extra-Terrestrial
107013,"Christmas Carol, A"
1100,Days of Thunder
1101,Top Gun
1103,Rebel Without a Cause
1104,"Streetcar Named Desire, A"
1105,Children of the Corn IV: The Gathering
3616,Loser
1111,Microcosmos (Microcosmos: Le peuple de l'herbe)
1112,Palookaville
1114,"Funeral, The"
1116,"Single Girl, A (Fille seule, La)"
1117,"Eighth Day, The (Huitième jour, Le)"
1119,Drunks
1120,"People vs. Larry Flynt, The"
1121,Glory Daze
1123,"Perfect Candidate, A"
1124,On Golden Pond
1125,"Return of the Pink Panther, The"
1126,Drop Dead Fred
1127,"Abyss, The"
39400,"Fog, The"
1129,Escape from New York
1130,"Howling, The"
1131,Jean de Florette
1132,Manon of the Spring (Manon des sources)
1135,Private Benjamin
1136,Monty Python and the Holy Grail
1137,Hustler White
1140,Entertaining Angels: The Dorothy Day Story
1144,"Line King: The Al Hirschfeld Story, The"
1147,When We Were Kings
1148,Wallace & Gromit: The Wrong Trousers
1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le)"
1151,Lesson Faust
1156,"Children Are Watching Us, The (Bambini ci guardano, I)"
1161,"Tin Drum, The (Blechtrommel, Die)"
1162,"Ruling Class, The"
1163,Mina Tannenbaum
1167,Dear God
1170,Best of the Best 3: No Turning Back
1171,Bob Roberts
1172,Cinema Paradiso (Nuovo cinema Paradiso)
1173,"Cook the Thief His Wife & Her Lover, The"
1175,Delicatessen
1176,"Double Life of Veronique, The (Double Vie de Véronique, La)"
1177,Enchanted April
1178,Paths of Glory
1179,"Grifters, The"
1180,Hear My Song
1183,"English Patient, The"
1184,Mediterraneo
1185,My Left Foot
1186,"Sex, Lies, and Videotape"
1187,Passion Fish
1188,Strictly Ballroom
1189,"Thin Blue Line, The"
1190,Tie Me Up! Tie Me Down! (¡Átame!)
1191,Madonna: Truth or Dare
1192,Paris Is Burning
1193,One Flew Over the Cuckoo's Nest
1194,Cheech and Chong's Up in Smoke
1196,Star Wars: Episode V - The Empire Strikes Back
1197,"Princess Bride, The"
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark)
1199,Brazil
1200,Aliens
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)"
1202,Withnail & I
77846,12 Angry Men
1204,Lawrence of Arabia
1206,"Clockwork Orange, A"
1207,To Kill a Mockingbird
1208,Apocalypse Now
1209,Once Upon a Time in the West (C'era una volta il West)
1210,Star Wars: Episode VI - Return of the Jedi
1211,"Wings of Desire (Himmel über Berlin, Der)"
1212,"Third Man, The"
1213,Goodfellas
1214,Alien
1215,Army of Darkness
1216,"Big Blue, The (Grand bleu, Le)"
1217,Ran
1218,"Killer, The (Die xue shuang xiong)"
2389,Psycho
1220,"Blues Brothers, The"
1221,"Godfather: Part II, The"
1222,Full Metal Jacket
1223,"Grand Day Out with Wallace and Gromit, A"
1224,Henry V
1225,Amadeus
1226,"Quiet Man, The"
1227,Once Upon a Time in America
1228,Raging Bull
1230,Annie Hall
1231,"Right Stuff, The"
1232,Stalker
1233,"Boot, Das (Boat, The)"
1234,"Sting, The"
1235,Harold and Maude
1236,Trust
1237,"Seventh Seal, The (Sjunde inseglet, Det)"
1238,Local Hero
1240,"Terminator, The"
1241,Dead Alive (Braindead)
1242,Glory
1243,Rosencrantz and Guildenstern Are Dead
1244,Manhattan
1245,Miller's Crossing
1246,Dead Poets Society
1247,"Graduate, The"
1248,Touch of Evil
1249,"Femme Nikita, La (Nikita)"
1250,"Bridge on the River Kwai, The"
1251,8 1/2 (8½)
1252,Chinatown
64497,"Day the Earth Stood Still, The"
1254,"Treasure of the Sierra Madre, The"
1255,Bad Taste
1256,Duck Soup
1257,Better Off Dead...
1258,"Shining, The"
1259,Stand by Me
1260,M
1261,Evil Dead II (Dead by Dawn)
1262,"Great Escape, The"
1263,"Deer Hunter, The"
1264,Diva
1265,Groundhog Day
144352,Unforgiven
8781,"Manchurian Candidate, The"
1268,Pump Up the Volume
1269,Arsenic and Old Lace
1270,Back to the Future
1271,Fried Green Tomatoes
1272,Patton
1273,Down by Law
1274,Akira
1275,Highlander
1276,Cool Hand Luke
1277,Cyrano de Bergerac
1278,Young Frankenstein
1279,Night on Earth
1280,Raise the Red Lantern (Da hong deng long gao gao gua)
1281,"Great Dictator, The"
1282,Fantasia
1283,High Noon
1284,"Big Sleep, The"
1285,Heathers
1286,Somewhere in Time
1287,Ben-Hur
1288,This Is Spinal Tap
1289,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance)
1290,Some Kind of Wonderful
1291,Indiana Jones and the Last Crusade
1292,Being There
1293,Gandhi
1295,"Unbearable Lightness of Being, The"
1296,"Room with a View, A"
1297,Real Genius
1298,Pink Floyd: The Wall
1299,"Killing Fields, The"
1300,My Life as a Dog (Mitt liv som hund)
1301,Forbidden Planet
1302,Field of Dreams
1303,"Man Who Would Be King, The"
1304,Butch Cassidy and the Sundance Kid
1305,"Paris, Texas"
1306,Until the End of the World (Bis ans Ende der Welt)
1307,When Harry Met Sally...
1310,Hype!
1312,Female Perversions
1318,Blue Juice
1320,Alien³ (a.k.a. Alien 3)
1321,"American Werewolf in London, An"
1322,Amityville 1992: It's About Time
1323,Amityville 3-D
1324,Amityville: Dollhouse
1325,Amityville: A New Generation
1326,Amityville II: The Possession
33085,"Amityville Horror, The"
1328,"Amityville Curse, The"
1329,Blood for Dracula (Andy Warhol's Dracula)
1330,April Fool's Day
1331,Audrey Rose
1332,"Believers, The"
1333,"Birds, The"
4480,"Blob, The"
1335,Blood Beach
1336,Body Parts
1337,"Body Snatcher, The"
1339,Dracula (Bram Stoker's Dracula)
1340,"Bride of Frankenstein, The (Bride of Frankenstein)"
1341,Burnt Offerings
1342,Candyman
1344,Cape Fear
105731,Carrie
7713,Cat People
77798,"Nightmare on Elm Street, A"
1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens)"
1349,Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice)
45662,"Omen, The"
1351,Blood and Wine (Blood & Wine)
1352,Albino Alligator
1353,"Mirror Has Two Faces, The"
1354,Breaking the Waves
1355,Nightwatch
1356,Star Trek: First Contact
1357,Shine
1358,Sling Blade
1359,Jingle All the Way
1361,Paradise Lost: The Child Murders at Robin Hood Hills
1363,"Preacher's Wife, The"
1365,Ridicule
1366,"Crucible, The"
1367,101 Dalmatians
1370,Die Hard 2
1371,Star Trek: The Motion Picture
1372,Star Trek VI: The Undiscovered Country
1373,Star Trek V: The Final Frontier
1374,Star Trek II: The Wrath of Khan
1375,Star Trek III: The Search for Spock
1376,Star Trek IV: The Voyage Home
1377,Batman Returns
1378,Young Guns
1379,Young Guns II
1380,Grease
1381,Grease 2
1382,Marked for Death
1385,Under Siege
1387,Jaws
1388,Jaws 2
1389,Jaws 3-D
1390,My Fellow Americans
1391,Mars Attacks!
1392,Citizen Ruth
1393,Jerry Maguire
1394,Raising Arizona
1395,Tin Men
1396,Sneakers
1397,Bastard Out of Carolina
1398,In Love and War
1399,Marvin's Room
1401,Ghosts of Mississippi
1405,Beavis and Butt-Head Do America
1406,La Cérémonie
1407,Scream
1408,"Last of the Mohicans, The"
1409,Michael
3723,Hamlet
1412,Some Mother's Son
1413,"Whole Wide World, The"
1414,Mother
1415,"Thieves (Voleurs, Les)"
1416,Evita
1417,"Portrait of a Lady, The"
1419,Walkabout
